step,n_measurements,n_landmarks,pose_error_m,heading_error_rad,pose_uncertainty,nees_pose,avg_landmark_error_m,max_landmark_error_m,avg_landmark_uncertainty,max_landmark_uncertainty
0,14,14,0.115671,0.014611,0.148345,1.216345,1.910648,6.404896,4.739331,8.793923
1,14,14,0.070525,0.068532,0.198171,0.260526,1.489679,5.02758,2.809755,5.237831
2,14,14,0.025898,0.085089,0.229338,0.026487,1.500712,4.522829,1.995971,3.553192
3,14,14,0.137671,0.073087,0.249642,0.565133,1.400032,3.18449,1.560048,2.843384
4,13,14,0.083712,0.067116,0.264628,0.223656,1.148685,2.257624,1.283448,2.382085
5,12,14,0.165073,0.031156,0.27645,0.619399,0.806278,2.554585,1.106036,2.056788
6,9,14,0.097111,0.049418,0.289097,0.191454,0.748364,2.223369,1.003338,1.969014
7,9,14,0.331846,0.048595,0.299148,2.036451,0.714395,2.075106,0.936871,1.919357
8,9,14,0.17397,0.067588,0.305914,0.673922,0.655888,1.599201,0.886477,1.881797
9,9,14,0.351285,0.055406,0.310815,2.543826,0.613493,1.773752,0.842902,1.846436
10,8,14,0.281258,0.012899,0.323507,1.214332,0.547429,1.696272,0.81037,1.820805
11,7,14,0.363454,0.025848,0.335564,1.824133,0.5557,1.757532,0.784908,1.798206
12,6,14,0.300272,0.064865,0.347159,1.11961,0.55324,1.551054,0.766732,1.781864
13,6,14,0.512671,0.079229,0.35677,3.388858,0.584723,1.851511,0.751331,1.768208
14,6,14,0.536877,0.056845,0.364477,3.220447,0.564756,1.55541,0.738499,1.75691
15,6,14,0.578095,0.089053,0.371114,3.504414,0.561167,1.431214,0.727429,1.747455
16,6,14,0.510731,0.027217,0.376996,2.600969,0.57415,1.387113,0.717229,1.73846
17,6,14,0.523398,0.000618,0.381662,2.645954,0.562321,1.306796,0.707379,1.729202
18,6,14,0.482076,0.039583,0.385248,2.188457,0.53842,1.140191,0.698944,1.721608
19,6,14,0.610677,0.094354,0.388977,3.405458,0.519106,1.141994,0.691117,1.714443
20,6,14,0.809928,0.084059,0.392553,6.325661,0.521857,1.047122,0.683921,1.707737
21,6,14,0.742532,0.011598,0.395826,5.70517,0.511174,1.078822,0.677471,1.701679
22,6,14,0.83581,0.080306,0.398563,7.341096,0.533182,1.243836,0.671654,1.696259
23,6,14,0.662595,0.006663,0.400632,5.640871,0.545066,1.316085,0.666947,1.692209
24,5,14,0.614834,0.076154,0.409522,3.536967,0.531319,1.137785,0.662889,1.688817
25,5,14,0.707626,0.042498,0.416749,6.584838,0.524231,1.074566,0.658858,1.685231
26,5,14,0.44575,0.073,0.423015,3.195896,0.53136,1.10698,0.655113,1.681882
27,6,14,0.444982,0.048404,0.418461,3.29412,0.552086,1.235507,0.651492,1.678662
28,6,14,0.160168,0.050142,0.416999,0.427173,0.579061,1.377455,0.648245,1.675741
29,8,14,0.273962,0.018385,0.40314,1.734344,0.533525,1.126906,0.640337,1.671995
30,8,14,0.178509,0.034161,0.39622,0.628434,0.53595,1.040016,0.63352,1.668721
31,8,14,0.125844,0.012185,0.392314,0.412802,0.536805,1.022279,0.62727,1.665518
32,8,14,0.10647,0.046314,0.389069,0.234955,0.532583,1.087016,0.621713,1.662721
33,8,14,0.186605,0.089118,0.386686,0.632495,0.545169,1.08814,0.61689,1.660551
34,8,14,0.336815,0.070899,0.384705,2.251792,0.525259,1.063167,0.612438,1.658482
35,8,14,0.263731,0.082833,0.383385,1.608079,0.51992,1.024919,0.608274,1.656365
36,8,14,0.469248,0.02693,0.382475,4.706902,0.507764,1.078646,0.604197,1.654081
37,9,14,0.359427,0.038975,0.37013,2.392711,0.530483,1.150031,0.587596,1.484122
38,9,14,0.36222,0.016378,0.363815,3.21415,0.567327,1.319565,0.575141,1.365091
39,9,14,0.48499,0.03734,0.360959,5.331039,0.562467,1.405159,0.563952,1.32261
40,8,14,0.292401,0.003689,0.364539,1.340355,0.585214,1.537667,0.560547,1.321011
41,9,14,0.50279,0.041727,0.362017,2.946019,0.582079,1.425569,0.55093,1.317401
42,11,14,0.37671,0.048875,0.345625,2.326127,0.577833,1.728643,0.521763,1.118626
43,9,14,0.343432,0.009348,0.348855,1.946738,0.575688,1.851186,0.5138,1.113146
44,11,14,0.440952,0.012215,0.341692,2.887799,0.549535,1.855035,0.493837,1.110015
45,10,14,0.370002,0.010546,0.34162,1.925661,0.497702,1.791779,0.48251,1.108325
46,10,14,0.300132,0.030585,0.342136,1.431944,0.50016,1.774021,0.473635,1.106956
47,10,14,0.231172,0.010641,0.342273,1.14646,0.493074,1.824936,0.465986,1.105588
48,12,14,0.30456,0.023387,0.334147,1.473506,0.540125,1.718158,0.44399,0.959089
49,12,14,0.270367,0.006779,0.331231,1.033906,0.536119,1.744565,0.428141,0.922086
50,12,14,0.222422,0.023686,0.330111,0.915026,0.552321,1.531684,0.415196,0.89037
51,13,15,0.293387,0.034225,0.32975,1.229888,0.708245,2.547178,0.983379,9.089667
52,12,15,0.208983,0.018732,0.329113,0.705856,0.693231,2.755053,0.967742,8.988162
53,13,15,0.368702,0.072543,0.328817,2.350519,0.567989,1.600477,0.675823,4.729636
54,13,15,0.4868,0.009176,0.328527,3.68471,0.578806,2.091037,0.566636,3.209902
55,13,15,0.304371,0.011887,0.328386,1.531995,0.602527,2.318498,0.514473,2.525084
56,13,15,0.296082,0.051385,0.32808,1.575861,0.571509,2.102032,0.480131,2.101371
57,14,15,0.385791,0.021299,0.321486,2.627022,0.55309,1.289185,0.448192,1.81835
58,14,15,0.376301,0.001638,0.319846,2.392678,0.518774,1.525357,0.424288,1.606681
59,14,15,0.457352,0.016742,0.319358,3.640965,0.518761,1.397233,0.406579,1.455748
60,14,15,0.438307,0.040133,0.319103,3.592523,0.544978,1.849162,0.392019,1.336845
61,14,15,0.552111,0.015435,0.319439,5.866011,0.51179,1.761493,0.37973,1.240763
62,15,15,0.521044,0.027148,0.313583,4.975103,0.463523,1.300121,0.368624,1.159917
63,15,15,0.523409,0.008798,0.310886,5.09878,0.415602,0.961172,0.358644,1.091884
64,15,15,0.45271,0.037926,0.309107,3.789673,0.398021,0.817176,0.349331,1.030785
65,15,15,0.405974,0.024199,0.307659,3.03116,0.410716,0.88175,0.340736,0.976342
66,14,15,0.435753,0.055562,0.310429,3.419876,0.399178,0.905502,0.33333,0.930195
67,14,15,0.511844,0.022808,0.31169,5.509357,0.405107,0.92315,0.326712,0.890046
68,14,15,0.596977,0.014938,0.312761,6.759168,0.404632,0.884716,0.320621,0.854499
69,14,15,0.598602,0.066079,0.314001,6.652979,0.425612,0.876537,0.314783,0.822472
70,14,15,0.579235,0.045662,0.314813,5.989143,0.412898,0.931545,0.309827,0.795704
71,14,15,0.608403,0.012727,0.315158,6.453184,0.401499,0.909876,0.305038,0.770465
72,14,15,0.436758,0.017085,0.315266,3.390301,0.392496,0.908624,0.300549,0.747565
73,14,15,0.515703,0.020037,0.315043,5.067275,0.398676,0.87996,0.29623,0.725895
74,14,15,0.414322,0.071091,0.315304,3.256597,0.383181,0.855491,0.292472,0.70774
75,14,15,0.489937,0.015424,0.315541,4.284402,0.385552,0.860994,0.289032,0.691368
76,14,15,0.52518,0.032928,0.315818,5.434966,0.382281,0.784911,0.28536,0.675117
77,14,15,0.448046,0.044915,0.315419,4.151005,0.407049,0.886983,0.282238,0.661029
78,14,15,0.355887,0.02388,0.315765,2.782597,0.430053,0.909053,0.279242,0.647966
79,14,15,0.466322,0.047389,0.31625,4.049838,0.438087,1.054538,0.276454,0.636009
80,14,15,0.527648,0.044762,0.316844,5.202296,0.463392,1.113327,0.273593,0.6245
81,14,15,0.333023,0.003982,0.317305,1.994969,0.447746,1.083807,0.270987,0.613991
82,14,15,0.252335,0.024986,0.317708,1.168215,0.423294,0.96256,0.268543,0.604312
83,14,15,0.459188,0.026543,0.31811,4.043769,0.402428,0.880123,0.26611,0.595176
84,14,15,0.166892,0.018573,0.318203,0.526866,0.417378,0.984853,0.263801,0.586351
85,14,15,0.232765,0.083171,0.317834,0.923172,0.436782,1.034803,0.261599,0.578066
86,14,15,0.316919,0.027736,0.317507,1.889564,0.42932,1.007125,0.25936,0.570003
87,14,15,0.411553,0.018514,0.317536,3.30253,0.426745,0.870123,0.257176,0.562111
88,14,15,0.368361,0.002655,0.317301,2.85297,0.408645,0.8449,0.255141,0.554707
89,14,15,0.481727,0.001689,0.316809,4.852225,0.425919,0.856575,0.253094,0.547349
90,14,15,0.539484,0.004771,0.31639,6.192704,0.401272,0.754466,0.251131,0.540333
91,14,15,0.60313,0.021353,0.316399,6.928659,0.409645,0.770851,0.249234,0.533697
92,14,15,0.508811,0.001458,0.316516,4.540784,0.389767,0.775772,0.24743,0.527517
93,14,15,0.521167,0.001999,0.316339,4.937263,0.381877,0.714695,0.245625,0.52133
94,14,15,0.540922,0.009521,0.31567,5.444517,0.37069,0.695834,0.243755,0.51498
95,14,15,0.445804,0.012674,0.315063,3.557355,0.368615,0.712981,0.241889,0.508756
96,14,15,0.333251,0.018918,0.313812,1.909199,0.394105,0.746104,0.239956,0.502009
97,14,15,0.241184,0.046142,0.313158,1.282837,0.391738,0.721911,0.238075,0.495452
98,14,15,0.374987,0.044411,0.312436,3.050475,0.384761,0.683437,0.236228,0.488901
99,15,15,0.365178,0.037738,0.307928,2.969797,0.39905,0.669707,0.234173,0.482439
100,14,15,0.251229,0.025607,0.310431,1.509962,0.394567,0.601323,0.232507,0.47706
101,14,15,0.230093,0.015354,0.311553,0.911818,0.387511,0.584991,0.23092,0.471938
102,14,15,0.352768,0.029557,0.312132,2.200555,0.37123,0.590532,0.229333,0.466944
103,14,15,0.383068,0.031144,0.312937,2.504263,0.382124,0.6051,0.227808,0.462239
104,13,15,0.31311,0.013392,0.315169,1.622765,0.383552,0.564509,0.22644,0.457823
105,12,15,0.33284,0.015458,0.320358,1.837645,0.394074,0.563403,0.225025,0.453327
106,12,15,0.199307,0.019927,0.323287,0.732888,0.403156,0.581368,0.223528,0.44866
107,12,15,0.273793,0.079877,0.325266,1.483848,0.377097,0.50326,0.222049,0.444045
108,12,15,0.470251,0.066334,0.326984,3.572247,0.36726,0.529386,0.22061,0.439691
109,12,15,0.418401,0.020759,0.328219,2.961913,0.380506,0.542723,0.219344,0.435894
110,12,15,0.441591,0.075135,0.329167,3.989876,0.400116,0.588361,0.218155,0.432319
111,11,15,0.423151,0.087542,0.331462,4.175986,0.398953,0.584893,0.21711,0.428946
112,11,15,0.232326,0.017432,0.332687,1.064748,0.390093,0.567144,0.216088,0.425619
113,12,15,0.099759,0.066587,0.331721,0.219269,0.383876,0.54508,0.214979,0.422389
114,12,15,0.190799,0.037626,0.331511,0.61524,0.392213,0.552382,0.213886,0.419154
115,12,15,0.208098,0.055032,0.332177,1.005955,0.406418,0.595025,0.212777,0.416014
116,12,15,0.379213,0.044203,0.332845,3.402204,0.400674,0.556962,0.211696,0.412989
117,12,15,0.338868,0.006878,0.333857,2.625084,0.385033,0.550728,0.210611,0.410051
118,12,15,0.42116,0.021029,0.334793,3.022498,0.363989,0.560265,0.209556,0.407205
119,12,15,0.603149,0.006321,0.335795,6.452898,0.35938,0.54487,0.208537,0.404506
120,12,15,0.490857,0.004957,0.336525,5.338674,0.354707,0.523082,0.207603,0.402053
121,12,15,0.555854,0.004358,0.337336,6.737066,0.382448,0.549883,0.206682,0.399642
122,12,15,0.356317,0.033195,0.337648,2.860843,0.372377,0.572234,0.205837,0.397357
123,12,15,0.363149,0.050976,0.338193,2.571422,0.360613,0.562422,0.204935,0.39502
124,12,15,0.239308,0.009519,0.338824,0.79164,0.371421,0.537075,0.204048,0.392757
125,12,15,0.36955,0.020976,0.340025,2.168857,0.397486,0.551513,0.20313,0.390483
126,12,15,0.556493,0.080655,0.341308,5.401602,0.409554,0.564965,0.202246,0.388243
127,12,15,0.749398,0.085274,0.342637,10.04026,0.405896,0.562903,0.201335,0.386003
128,12,15,0.773275,0.004856,0.343443,11.195181,0.422367,0.589566,0.200612,0.384176
129,13,15,0.661107,0.001804,0.341484,7.677252,0.432502,0.635707,0.19979,0.382273
130,13,15,0.823848,0.030004,0.340319,11.597301,0.437135,0.640422,0.198928,0.380331
131,13,15,0.545358,0.010976,0.339254,4.878851,0.444805,0.736198,0.19805,0.378365
132,13,15,0.304173,0.016547,0.338687,1.962008,0.447447,0.703962,0.197188,0.376433
133,13,15,0.297,0.063938,0.337804,1.486002,0.45762,0.675922,0.196331,0.374421
134,13,15,0.595626,0.001894,0.337665,5.736918,0.467789,0.69037,0.195525,0.372548
135,13,15,0.440755,0.00939,0.337138,3.463345,0.457611,0.692625,0.194746,0.370705
136,13,15,0.395425,0.085769,0.336495,3.350395,0.428451,0.620361,0.193987,0.368906
137,13,15,0.401516,0.026142,0.335961,3.207132,0.421026,0.607698,0.193251,0.367115
138,13,15,0.397094,0.010494,0.335665,3.038586,0.423727,0.639459,0.192531,0.365382
139,13,15,0.388071,0.038928,0.335899,2.603712,0.421496,0.618638,0.191876,0.363797
140,13,15,0.457489,0.021679,0.335965,3.092918,0.457244,0.727363,0.191197,0.362147
141,13,15,0.415553,0.021211,0.33588,3.46317,0.436114,0.70808,0.190552,0.360576
142,13,15,0.581137,0.05218,0.33642,6.052326,0.431168,0.686801,0.18994,0.359073
143,13,15,0.564448,0.059824,0.33652,6.10999,0.445264,0.724111,0.189366,0.357656
144,13,15,0.492096,0.051125,0.336452,5.021701,0.420679,0.713795,0.188753,0.356158
145,13,15,0.559122,0.040815,0.336568,5.782103,0.434881,0.730101,0.188181,0.354747
146,13,15,0.440732,0.076763,0.336205,3.086283,0.461229,0.774493,0.18762,0.353342
147,13,15,0.514301,0.061596,0.336071,3.794337,0.491903,0.818312,0.187082,0.352007
148,12,15,0.413805,0.012692,0.338292,2.37509,0.504235,0.827612,0.186564,0.350735
149,12,15,0.396662,0.01022,0.339137,2.251781,0.485529,0.795323,0.186064,0.349504
150,13,15,0.366241,0.036208,0.337233,1.83853,0.467013,0.772025,0.185429,0.347958
151,12,15,0.415528,0.072037,0.339191,2.391806,0.482491,0.791815,0.184878,0.346605
