algorithm,seed,success,path_length,waypoints,nodes_created,time_s,smoothness,scenario
PRM,5000,True,20.837245237850667,3,400,2.313343707995955,0.3482643847055141,Scenario1_Bottleneck
RRT,5000,True,23.7902310363435,49,114,0.025083207990974188,0.5469765104668103,Scenario1_Bottleneck
PRM,5001,True,20.938690760447233,5,400,2.3786759169888683,0.21131440216971079,Scenario1_Bottleneck
RRT,5001,True,26.14636838751373,54,156,0.03915958298603073,0.5677450932042247,Scenario1_Bottleneck
PRM,5002,True,20.838840141662438,3,400,2.4312566670123488,0.4253294678094287,Scenario1_Bottleneck
RRT,5002,True,25.009636761051226,52,177,0.0457865409553051,0.5723748559437636,Scenario1_Bottleneck
PRM,5003,True,20.759826047702393,6,400,2.3076805829769,0.23117191583318325,Scenario1_Bottleneck
RRT,5003,True,24.14626590016297,50,115,0.026184083020780236,0.4197198580559256,Scenario1_Bottleneck
PRM,5004,True,20.92191522461377,4,400,2.415891874989029,0.47486328892742735,Scenario1_Bottleneck
RRT,5004,True,25.911002958817377,53,293,0.13027891697129235,0.48687129297625065,Scenario1_Bottleneck
