algorithm,seed,success,path_length,waypoints,nodes_created,time_s,smoothness,scenario
PRM,5000,True,35.53883260501211,18,400,2.917243250005413,0.5054973395377672,Scenario2_Zigzag
RRT,5000,True,46.952357527170975,96,910,1.2837472920073196,0.47858456669621713,Scenario2_Zigzag
PRM,5001,True,38.90850974423898,19,400,3.2325333750341088,0.6022439754195295,Scenario2_Zigzag
RRT,5001,False,nan,0,1252,2.3999827500083484,nan,Scenario2_Zigzag
PRM,5002,True,40.23106536047191,19,400,2.955774708010722,0.5519659711160317,Scenario2_Zigzag
RRT,5002,True,49.498434103913,102,1423,2.669748125015758,0.590898173367711,Scenario2_Zigzag
PRM,5003,True,38.45123780194286,18,400,2.959742292005103,0.6455099464542473,Scenario2_Zigzag
RRT,5003,True,53.23420293121623,108,1291,2.381283082999289,0.5918150672605146,Scenario2_Zigzag
PRM,5004,True,41.44159545026998,20,400,2.958110708044842,0.6213596580486023,Scenario2_Zigzag
RRT,5004,True,51.69560603905654,105,1291,2.34123737498885,0.603891591294898,Scenario2_Zigzag
